date_key,full_date,day,month,month_name,quarter,year,week_day,weekend_flag
20160904,2016-09-04,4,9,September,3,2016,Sunday,True
20160905,2016-09-05,5,9,September,3,2016,Monday,False
20160913,2016-09-13,13,9,September,3,2016,Tuesday,False
20160915,2016-09-15,15,9,September,3,2016,Thursday,False
20160919,2016-09-19,19,9,September,3,2016,Monday,False
20160930,2016-09-30,30,9,September,3,2016,Friday,False
20161002,2016-10-02,2,10,October,4,2016,Sunday,True
20161003,2016-10-03,3,10,October,4,2016,Monday,False
20161004,2016-10-04,4,10,October,4,2016,Tuesday,False
20161005,2016-10-05,5,10,October,4,2016,Wednesday,False
20161006,2016-10-06,6,10,October,4,2016,Thursday,False
20161007,2016-10-07,7,10,October,4,2016,Friday,False
20161008,2016-10-08,8,10,October,4,2016,Saturday,True
20161009,2016-10-09,9,10,October,4,2016,Sunday,True
20161010,2016-10-10,10,10,October,4,2016,Monday,False
20161011,2016-10-11,11,10,October,4,2016,Tuesday,False
20161012,2016-10-12,12,10,October,4,2016,Wednesday,False
20161013,2016-10-13,13,10,October,4,2016,Thursday,False
20161014,2016-10-14,14,10,October,4,2016,Friday,False
20161015,2016-10-15,15,10,October,4,2016,Saturday,True
20161016,2016-10-16,16,10,October,4,2016,Sunday,True
20161017,2016-10-17,17,10,October,4,2016,Monday,False
20161018,2016-10-18,18,10,October,4,2016,Tuesday,False
20161019,2016-10-19,19,10,October,4,2016,Wednesday,False
20161020,2016-10-20,20,10,October,4,2016,Thursday,False
20161021,2016-10-21,21,10,October,4,2016,Friday,False
20161022,2016-10-22,22,10,October,4,2016,Saturday,True
20161023,2016-10-23,23,10,October,4,2016,Sunday,True
20161024,2016-10-24,24,10,October,4,2016,Monday,False
20161025,2016-10-25,25,10,October,4,2016,Tuesday,False
20161026,2016-10-26,26,10,October,4,2016,Wednesday,False
20161027,2016-10-27,27,10,October,4,2016,Thursday,False
20161028,2016-10-28,28,10,October,4,2016,Friday,False
20161029,2016-10-29,29,10,October,4,2016,Saturday,True
20161030,2016-10-30,30,10,October,4,2016,Sunday,True
20161031,2016-10-31,31,10,October,4,2016,Monday,False
20161101,2016-11-01,1,11,November,4,2016,Tuesday,False
20161102,2016-11-02,2,11,November,4,2016,Wednesday,False
20161103,2016-11-03,3,11,November,4,2016,Thursday,False
20161104,2016-11-04,4,11,November,4,2016,Friday,False
20161105,2016-11-05,5,11,November,4,2016,Saturday,True
20161106,2016-11-06,6,11,November,4,2016,Sunday,True
20161107,2016-11-07,7,11,November,4,2016,Monday,False
20161108,2016-11-08,8,11,November,4,2016,Tuesday,False
20161109,2016-11-09,9,11,November,4,2016,Wednesday,False
20161110,2016-11-10,10,11,November,4,2016,Thursday,False
20161111,2016-11-11,11,11,November,4,2016,Friday,False
20161112,2016-11-12,12,11,November,4,2016,Saturday,True
20161114,2016-11-14,14,11,November,4,2016,Monday,False
20161115,2016-11-15,15,11,November,4,2016,Tuesday,False
20161116,2016-11-16,16,11,November,4,2016,Wednesday,False
20161117,2016-11-17,17,11,November,4,2016,Thursday,False
20161118,2016-11-18,18,11,November,4,2016,Friday,False
20161119,2016-11-19,19,11,November,4,2016,Saturday,True
20161120,2016-11-20,20,11,November,4,2016,Sunday,True
20161121,2016-11-21,21,11,November,4,2016,Monday,False
20161122,2016-11-22,22,11,November,4,2016,Tuesday,False
20161123,2016-11-23,23,11,November,4,2016,Wednesday,False
20161124,2016-11-24,24,11,November,4,2016,Thursday,False
20161125,2016-11-25,25,11,November,4,2016,Friday,False
20161126,2016-11-26,26,11,November,4,2016,Saturday,True
20161127,2016-11-27,27,11,November,4,2016,Sunday,True
20161128,2016-11-28,28,11,November,4,2016,Monday,False
20161129,2016-11-29,29,11,November,4,2016,Tuesday,False
20161130,2016-11-30,30,11,November,4,2016,Wednesday,False
20161201,2016-12-01,1,12,December,4,2016,Thursday,False
20161202,2016-12-02,2,12,December,4,2016,Friday,False
20161203,2016-12-03,3,12,December,4,2016,Saturday,True
20161204,2016-12-04,4,12,December,4,2016,Sunday,True
20161205,2016-12-05,5,12,December,4,2016,Monday,False
20161206,2016-12-06,6,12,December,4,2016,Tuesday,False
20161207,2016-12-07,7,12,December,4,2016,Wednesday,False
20161208,2016-12-08,8,12,December,4,2016,Thursday,False
20161209,2016-12-09,9,12,December,4,2016,Friday,False
20161210,2016-12-10,10,12,December,4,2016,Saturday,True
20161211,2016-12-11,11,12,December,4,2016,Sunday,True
20161212,2016-12-12,12,12,December,4,2016,Monday,False
20161213,2016-12-13,13,12,December,4,2016,Tuesday,False
20161214,2016-12-14,14,12,December,4,2016,Wednesday,False
20161215,2016-12-15,15,12,December,4,2016,Thursday,False
20161216,2016-12-16,16,12,December,4,2016,Friday,False
20161218,2016-12-18,18,12,December,4,2016,Sunday,True
20161219,2016-12-19,19,12,December,4,2016,Monday,False
20161220,2016-12-20,20,12,December,4,2016,Tuesday,False
20161223,2016-12-23,23,12,December,4,2016,Friday,False
20161225,2016-12-25,25,12,December,4,2016,Sunday,True
20161226,2016-12-26,26,12,December,4,2016,Monday,False
20161227,2016-12-27,27,12,December,4,2016,Tuesday,False
20161228,2016-12-28,28,12,December,4,2016,Wednesday,False
20161229,2016-12-29,29,12,December,4,2016,Thursday,False
20161230,2016-12-30,30,12,December,4,2016,Friday,False
20161231,2016-12-31,31,12,December,4,2016,Saturday,True
20170104,2017-01-04,4,1,January,1,2017,Wednesday,False
20170105,2017-01-05,5,1,January,1,2017,Thursday,False
20170106,2017-01-06,6,1,January,1,2017,Friday,False
20170107,2017-01-07,7,1,January,1,2017,Saturday,True
20170108,2017-01-08,8,1,January,1,2017,Sunday,True
20170109,2017-01-09,9,1,January,1,2017,Monday,False
20170110,2017-01-10,10,1,January,1,2017,Tuesday,False
20170111,2017-01-11,11,1,January,1,2017,Wednesday,False
20170112,2017-01-12,12,1,January,1,2017,Thursday,False
20170113,2017-01-13,13,1,January,1,2017,Friday,False
20170114,2017-01-14,14,1,January,1,2017,Saturday,True
20170115,2017-01-15,15,1,January,1,2017,Sunday,True
20170116,2017-01-16,16,1,January,1,2017,Monday,False
20170117,2017-01-17,17,1,January,1,2017,Tuesday,False
20170118,2017-01-18,18,1,January,1,2017,Wednesday,False
20170119,2017-01-19,19,1,January,1,2017,Thursday,False
20170120,2017-01-20,20,1,January,1,2017,Friday,False
20170121,2017-01-21,21,1,January,1,2017,Saturday,True
20170122,2017-01-22,22,1,January,1,2017,Sunday,True
20170123,2017-01-23,23,1,January,1,2017,Monday,False
20170124,2017-01-24,24,1,January,1,2017,Tuesday,False
20170125,2017-01-25,25,1,January,1,2017,Wednesday,False
20170126,2017-01-26,26,1,January,1,2017,Thursday,False
20170127,2017-01-27,27,1,January,1,2017,Friday,False
20170128,2017-01-28,28,1,January,1,2017,Saturday,True
20170129,2017-01-29,29,1,January,1,2017,Sunday,True
20170130,2017-01-30,30,1,January,1,2017,Monday,False
20170131,2017-01-31,31,1,January,1,2017,Tuesday,False
20170201,2017-02-01,1,2,February,1,2017,Wednesday,False
20170202,2017-02-02,2,2,February,1,2017,Thursday,False
20170203,2017-02-03,3,2,February,1,2017,Friday,False
20170204,2017-02-04,4,2,February,1,2017,Saturday,True
20170205,2017-02-05,5,2,February,1,2017,Sunday,True
20170206,2017-02-06,6,2,February,1,2017,Monday,False
20170207,2017-02-07,7,2,February,1,2017,Tuesday,False
20170208,2017-02-08,8,2,February,1,2017,Wednesday,False
20170209,2017-02-09,9,2,February,1,2017,Thursday,False
20170210,2017-02-10,10,2,February,1,2017,Friday,False
20170211,2017-02-11,11,2,February,1,2017,Saturday,True
20170212,2017-02-12,12,2,February,1,2017,Sunday,True
20170213,2017-02-13,13,2,February,1,2017,Monday,False
